"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES"
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1992","       158","E","        87","E","        13","E",,,,,"         0","E","         4","E","         0","E","        53","E","         0","E","-1.0","E,0123, ",,,,,"65.9"," ,E,0828, ","29.2","E,0516, ",,,,,,,,,,,"-0.6","E,0222",,,,,,,,,"1228.2"," ,E",,,"13.1","E","16.5","E","9.6","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1993","       164","E","       106","E","         6","E",,,,,"         0","E","         3","E","         0","E","        48","E","         0","E","-2.0","E,0225, ",,,,,"63.4"," ,E,0825, ","30.2","E,0819, ",,,,,,,,,,,"-0.4","E,0301",,,,,,,,,"1086.6"," ,E",,,"13.1","E","16.6","E","9.7","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1994","       165","E","       103","E","         6","E",,,,,"         0","E","         0","E","         0","E","        62","E","         0","E","0.6","E,0118, ",,,,,"70.6"," ,E,1231, ","31.0","E,0623, ",,,,,,,,,,,,,,,,,,,,,"1095.6"," ,E",,,"13.7","E","17.2","E","10.3","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1995","       153","E","        91","E","         6","E",,,,,"         0","E","         0","E","         0","E","        84","E","         1","E","0.8","E,0331, ",,,,,"37.7"," ,E,0225, ","33.0","E,0725, ",,,,,,,,,,,,,,,,,,,,,"1107.4"," ,E",,,"14.0","E","17.8","E","10.2","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1996","       165","E","       109","E","         9","E",,,,,"         0","E","         2","E","         0","E","        64","E","         0","E","0.0","E,0222,+",,,,,"42.4"," ,E,1122, ","27.4","E,1024, ",,,,,,,,,,,"0.0","E,0222",,,,,,,,,"1222.0"," ,E",,,"13.4","E","16.9","E","9.9","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1997","       146","E","        85","E","        12","E",,,,,"         0","E","         1","E","         0","E","        88","E","         0","E","-1.0","E,0107, ",,,,,"81.8"," ,E,0824, ","29.2","E,0606, ",,,,,,,,,,,"-1.0","E,0107",,,,,,,,,"1167.6"," ,E",,,"14.5","E","18.1","E","10.9","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1998","       165","E","       100","E","         4","E",,,,,"         0","E","         1","E","         0","E","        69","E","         0","E","-0.6","E,0127, ",,,,,"32.8"," ,E,0429, ","28.6","E,0618, ",,,,,,,,,,,"-0.6","E,0127",,,,,,,,,"937.2"," ,E",,,"13.9","E","17.4","E","10.4","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","1999","       161","E","        99","E","         7","E",,,,,"         0","E","         0","E","         0","E","        87","E","         0","E","0.4","E,0215, ",,,,,"56.9"," ,E,0913, ","31.0","E,0910, ",,,,,,,,,,,,,,,,,,,,,"1112.7"," ,E",,,"13.7","E","17.1","E","10.3","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2001","       143","E","        96","E","         1","E",,,,,"         0","E","         4","E","         0","E","        92","E","         0","E","-1.2","E,1225, ",,,,,"129.1"," ,E,0922, ","29.0","E,0702, ","-0.4","E,1216",,,,,,,,,,,,,,,,,,,"963.8"," ,E",,,"13.7","E","17.5","E","9.9","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2002","       175","E","       100","E","         3","E",,,,,"         0","E","         0","E","         0","E","        64","E","         0","E","3.0","E,0303,+",,,,,"86.1"," ,E,0809, ","27.0","E,1020, ",,,,,,,,,,,,,,,,,,,,,"998.7"," ,E",,,"13.9","E","17.6","E","10.3","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2003","       146","E","        89","E","         5","E",,,,,"         0","E","         4","E","         0","E","        96","E","         0","E","-1.2","E,0114, ",,,,,"40.1"," ,E,1115, ","31.6","E,0803, ",,,,,,,,,,,"0.0","E,0218",,,,,,,,,"1015.5"," ,E",,,"14.3","E","17.8","E","10.8","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2004","       153","E","        80","E","         2","E",,,,,"         0","E","         1","E","         0","E","        77","E","         0","E","-1.8","E,0302, ",,,,,"34.2"," ,E,1016, ","27.3","E,0818, ",,,,,,,,,,,"-1.8","E,0302",,,,,,,,,"845.6"," ,E",,,"13.4","E","16.9","E","10.0","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2005","       154","E","        94","E","         8","E",,,,,"         0","E","         5","E","         0","E","        90","E","         0","E","-2.0","E,0302, ",,,,,"53.3"," ,E,1013, ","28.4","E,0713, ","0.0","E,1223",,,,,,,,,"-0.2","E,0310",,,,,,,,,"995.9"," ,E",,,"13.4","E","17.0","E","9.8","E",,
